Start Time,Chip ID,PassFill,Defect Code,Model Name,Tact Time,Grade
2021_0808_23:18:18,T917G108BA07,OK,,2V500DJ7QZ00S,30.9,A
2021_0808_23:26:01,T917G108AG04,OK,,2V500DJ7QZ00S,31.2,A
2021_0808_23:27:49,T917K060AV01,OK,,2V500DJ7QZ00S,30.0,A
2021_0808_23:41:32,T917G081BC01,OK,,2V500DJ7QZ00S,30.7,A
2021_0808_23:43:19,T917K060AV05,OK,,2V500DJ7QZ00S,30.2,A
2021_0808_23:45:33,T917G109AT08,OK,,2V500DJ7QZ00S,30.7,A
2021_0808_23:47:23,T917G109AT03,OK,,2V500DJ7QZ00S,31.1,A
2021_0808_23:49:33,T917G150AG02,OK,,2V500DJ7QZ00S,36.7,A
2021_0808_23:51:26,T917G113BB06,OK,,2V500DJ7QZ00S,29.9,A
2021_0808_23:53:11,T917G113BB04,OK,,2V500DJ7QZ00S,29.9,A
2021_0809_00:15:29,T917G113BB04,NG,PCM060250100802800CPCM060250100802800C,2V500DJ7QZ00S,43.4,C5
2021_0809_00:19:33,T917G113BB04,NG,PCM060250100802800CPCM060250100802800C,2V500DJ7QZ00S,247.4,C5
2021_0809_01:11:55,T917G061AV07,OK,,2V500DJ7QZ00S,30.7,A
2021_0809_01:14:36,T917K120AH02,NG,PCLH6024900213580BBPCLH6013850213380BBPCLH6014080210980BBPCLH6013250212580BB,2V500DJ7QZ00S,30.6,L
2021_0809_01:16:43,T917G059AM05,OK,,2V500DJ7QZ00S,30.9,A
2021_0809_01:18:31,T917G087AR07,NG,PCMD50381402117800CPCMD50379202117800CPCMD50377302138800CPCMD50376602117800CPCMD50374902138800CPCMD50374902117800C,2V500DJ7QZ00S,31.4,C2
2021_0809_01:21:04,2V500DJ7QZ00,NG,PCMD50381402117800CPCMD50379202117800CPCMD50377302138800CPCMD50376602117800CPCMD50374902138800CPCMD50374902117800C,2V500DJ7QZ00S,1.6,C2
2021_0809_01:23:57,T9175104BB07,NG,PCLK4015020098780BC,2V500DJ7QZ00S,31.4,L
2021_0809_01:30:21,T917K067AL02,OK,,2V500DJ7QZ00S,36.6,A
2021_0809_01:59:13,T909C033AK08,OK,,2V500DJ7QZ00S,31.1,A
2021_0809_02:01:00,T9175100AM01,OK,,2V500DJ7QZ00S,30.5,A
2021_0809_02:02:56,T917G024AE02,OK,,2V500DJ7QZ00S,30.0,A
2021_0809_02:04:45,T917G024AE04,OK,,2V500DJ7QZ00S,30.4,A
2021_0809_02:06:40,T917F074BA01,OK,,2V500DJ7QZ00S,29.8,A
2021_0809_02:28:30,T916H025AN08,OK,,2V500DJ7QZ00S,30.0,A
2021_0809_02:36:40,T9175104AT08,OK,,2V500DJ7QZ00S,30.8,A
2021_0809_02:43:45,T9179030AR03,OK,,2V500DJ7QZ00S,29.8,A
2021_0809_02:50:45,T9175100AL08,OK,,2V500DJ7QZ00S,30.4,A
2021_0809_02:52:32,T917K044AF02,NG,PCMCK0279801713800C,2V500DJ7QZ00S,30.8,E
2021_0809_02:54:21,T917G083AC02,OK,,2V500DJ7QZ00S,29.9,A
2021_0809_02:56:08,T909C033AJ03,OK,,2V500DJ7QZ00S,29.9,A
2021_0809_02:58:03,T917G033AJ02,OK,,2V500DJ7QZ00S,30.1,A
2021_0809_03:00:00,T917G109AJ05,OK,,2V500DJ7QZ00S,30.6,A
2021_0809_03:01:47,T909C033AJ06,OK,,2V500DJ7QZ00S,31.5,A
2021_0809_03:09:06,T917G033AJ04,OK,,2V500DJ7QZ00S,30.2,A
2021_0809_03:10:53,T917G108AG07,OK,,2V500DJ7QZ00S,29.7,A
2021_0809_03:12:39,T917G051AU02,OK,,2V500DJ7QZ00S,31.1,A
2021_0809_03:14:26,T917G145AG01,OK,,2V500DJ7QZ00S,30.5,A
2021_0809_03:19:19,T917G051AU06,OK,,2V500DJ7QZ00S,30.4,A
2021_0809_03:21:05,T917E040AB06,OK,,2V500DJ7QZ00S,30.5,A
2021_0809_03:29:07,T917L052AJ02,OK,,2V500DJ7QZ00S,32.0,A
2021_0809_03:30:54,T917J023AL03,OK,,2V500DJ7QZ00S,29.5,A
2021_0809_03:36:07,T917F165AV02,OK,,2V500DJ7QZ00S,31.6,A
2021_0809_03:43:51,T917J023AL07,OK,,2V500DJ7QZ00S,31.0,A
2021_0809_03:50:11,T917F165AV08,OK,,2V500DJ7QZ00S,30.2,A
2021_0809_03:57:47,T917G082AG01,OK,,2V500DJ7QZ00S,31.4,A
2021_0809_04:01:04,T917G058AL03,OK,,2V500DJ7QZ00S,29.2,A
2021_0809_04:02:50,T917G036AH08,OK,,2V500DJ7QZ00S,29.5,A
2021_0809_04:05:45,T917G036AH06,OK,,2V500DJ7QZ00S,29.8,A
2021_0809_04:09:44,T917G057AE03,OK,,2V500DJ7QZ00S,30.0,A
2021_0809_04:15:22,T917G081AC04,OK,,2V500DJ7QZ00S,30.9,A
2021_0809_04:27:49,T917G030AL07,OK,,2V500DJ7QZ00S,29.6,A
2021_0809_04:29:34,T917G091AM06,OK,,2V500DJ7QZ00S,31.3,A
2021_0809_04:31:21,T917G030AE05,OK,,2V500DJ7QZ00S,31.2,A
2021_0809_04:33:10,T917G052AS02,OK,,2V500DJ7QZ00S,30.0,A
2021_0809_04:34:55,T917K044AL06,OK,,2V500DJ7QZ00S,30.4,A
2021_0809_04:37:34,T917G115AT04,OK,,2V500DJ7QZ00S,40.0,A
